,UNIT: ,7TOWER,,HPPD: ,,12.41,,Effective HPPD: ,,,11.83,,Budgeted Volume: ,20.4,
,,,,,,,,,,,,,,,
,,Days,,,,,Nights,,,,,Hours Used,Hours Earned,Productivity,
,,7am-7pm,,,,,7pm-7am,,,,,,,,
,CENSUS,CN,RN/ LPN,NA,Sitters,UC,CN,RN/ LPN,NA,Sitters,UC,,,,
,23,1,5,3,,1,1,5,3,,1,240.0,272.2,113.4%,
,22,1,5,3,,1,1,5,3,,1,240.0,260.3,108.5%,
,21,1,4,2,,1,1,4,2,,1,192.0,248.5,129.4%,
,20,1,4,2,,1,1,4,2,,1,192.0,236.7,123.3%,
,19,1,4,2,,1,1,4,2,,1,192.0,224.8,117.1%,
,18,1,4,2,,1,1,4,2,,1,192.0,213.0,110.9%,
,17,1,4,2,,1,1,4,2,,1,192.0,201.2,104.8%,
,16,1,3,2,,1,1,3,2,,1,168.0,189.3,112.7%,
,15,1,3,2,,1,1,3,2,,1,168.0,177.5,105.7%,
,14,1,3,2,,1,1,3,2,,1,168.0,165.7,98.6%,
,13,1,3,1,,0,1,3,1,,0,120.0,153.8,128.2%,
,12,1,3,1,,0,1,3,1,,0,120.0,142.0,118.3%,
,11,1,2,0,,0,1,2,0,,0,72.0,130.2,180.8%,
,10,1,2,0,,0,1,2,0,,0,72.0,118.3,164.4%,
,9,1,2,0,,0,1,2,0,,0,72.0,106.5,147.9%,
,8,1,2,0,,0,1,2,0,,0,72.0,94.7,131.5%,
,7,1,2,0,,0,1,2,0,,0,72.0,82.8,115.1%,
,6,1,2,0,,0,1,2,0,,0,72.0,71.0,98.6%,
,5,1,1,0,,0,1,1,0,,0,48.0,59.2,123.3%,
,4,1,1,0,,0,1,1,0,,0,48.0,47.3,98.6%,
,3,1,1,0,,0,1,1,0,,0,48.0,35.5,74.0%,
,2,1,1,0,,0,1,1,0,,0,48.0,23.7,49.3%,
,1,1,1,0,,0,1,1,0,,0,48.0,11.8,24.7%,
,,,,,,,,,,,,,,,
,,,FTE,HPPD Impact:,,,,,,,,,,,
,Sitter run rate: ,,,0.00,,,,,,,,,,,
,Manager: ,,1.0,0.28,,,,,,,,,,,
,Education: ,,0.15,0.04,,,,,,,,,,,
,Orientation: ,,0.90,0.25,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total: ,,2.06,0.58,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,